Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Team),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Administrar la privacidad de la información,KAN-27,10026,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:07 PM,22/ago/26 5:54 PM,,,,0,"RF asociado: RF-11
Historia de usuario (HU-08): Como propietario de mascota, quiero configurar que informacion de mi mascota y de mi perfil pueden ver otros usuarios, para proteger mis datos sensibles.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-02, EV-05, EV-06, EV-07, EV-08, EV-09, EV-10, EV-14, EV-18",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0005r:,,,,"EV-02, EV-05, EV-06, EV-07, EV-08, EV-09, EV-10, EV-14, EV-18",Must,,,Por hacer,09/ago/26 2:07 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
Verificar la identidad de los usuarios,KAN-28,10027,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:07 PM,22/ago/26 5:54 PM,22/ago/26 7:13 PM,,,0,"RF asociado: RF-12
Historia de usuario (HU-09): Como usuario nuevo, quiero verificar mi identidad al registrarme, para poder participar en procesos de adopcion o cruza dentro de la plataforma.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-03, EV-07, EV-08, EV-09",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0005z:,,,,"EV-01, EV-03, EV-07, EV-08, EV-09",Must,,,Por hacer,09/ago/26 2:07 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
Sistema de mensajería entre usuarios,KAN-29,10028,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:08 PM,22/ago/26 5:54 PM,22/ago/26 7:13 PM,,,0,"RF asociado: RF-07
Historia de usuario (HU-17): Como propietario, adoptante o interesado en cruza, quiero comunicarme por mensajes con otro usuario y poder reportar un mensaje como spam, ofensivo o intento de acuerdo externo, para coordinar procesos de adopcion o cruza de forma segura.
Prioridad MoSCoW: Could
Fuente del requisito (Origen): EV-02, EV-07, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00067:,,,,"EV-02, EV-07, EV-08",Could,,,Por hacer,09/ago/26 2:08 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
Gestionar recordatorios de controles preventivos,KAN-30,10029,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:09 PM,22/ago/26 5:54 PM,22/ago/26 7:13 PM,,,0,"RF asociado: RF-10
Historia de usuario (HU-18): Como propietario de mascota, quiero recibir recordatorios de vacunas, desparasitaciones y controles por WhatsApp, con respaldo automatico in-app si WhatsApp no esta disponible, para no perder ningun control preventivo de mi mascota por una falla del proveedor externo.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-02, EV-04, EV-06, EV-11",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0006f:,,,,"EV-02, EV-04, EV-06, EV-11",Should,,,Por hacer,09/ago/26 2:09 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
Habilitar validación médica por segunda opinión veterinaria,KAN-31,10030,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:09 PM,22/ago/26 7:14 PM,22/ago/26 7:13 PM,,,0,"RF asociado: RF-26
Historia de usuario (HU-26): Como veterinaria, quiero revisar y confirmar o cuestionar la validación médica realizada previamente por otra veterinaria, para ofrecer una segunda opinión profesional que quede respaldada en el historial médico.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-24
",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0006n:,,,,EV-24,Should,,,Por hacer,22/ago/26 4:48 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
"Verificar que el formulario exige nombre, especie, raza, sexo, edad y estado reproductivo.",KAN-32,10031,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:11 PM,09/ago/26 2:11 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0006v:,,,,,,,,Por hacer,09/ago/26 2:11 PM,10005,KAN-6,Registrar mascota
Verificar que el perfil queda almacenado y es consultable inmediatamente tras el registro.,KAN-33,10032,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:12 PM,09/ago/26 2:12 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00073:,,,,,,,,Por hacer,09/ago/26 2:12 PM,10005,KAN-6,Registrar mascota
"Verificar que se puede registrar una vacuna con fecha de aplicación, cepa y aplicador.",KAN-34,10033,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:12 PM,09/ago/26 2:12 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007b:,,,,,,,,Por hacer,09/ago/26 2:12 PM,10018,KAN-19,Gestionar historial médico de la mascota
Verificar que el historial actualizado es visible para usuarios autorizados.,KAN-35,10034,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007j:,,,,,,,,Por hacer,09/ago/26 2:13 PM,10018,KAN-19,Gestionar historial médico de la mascota
"Verificar que el perfil muestra datos generales, historial médico y fotografías.",KAN-36,10035,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007r:,,,,,,,,Por hacer,09/ago/26 2:13 PM,10006,KAN-7,Consultar perfil completo de una mascota
Verificar que un usuario no autorizado no ve datos de contacto ni ubicación exacta (RNF-16),KAN-37,10036,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:13 PM,09/ago/26 2:13 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0007z:,,,,,,,,Por hacer,09/ago/26 2:13 PM,10006,KAN-7,Consultar perfil completo de una mascota
Verificar que el adoptante puede enviar una solicitud con su información de perfil.,KAN-38,10037,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00087:,,,,,,,,Por hacer,09/ago/26 2:14 PM,10012,KAN-13,Gestionar solicitudes de adopción
Verificar que el propietario (o refugio) puede aceptar o rechazar la solicitud,KAN-39,10038,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008f:,,,,,,,,Por hacer,09/ago/26 2:14 PM,10012,KAN-13,Gestionar solicitudes de adopción
Verificar que el sistema calcula un resultado de compatibilidad a partir de antecedentes genéticos.,KAN-40,10039,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008n:,,,,,,,,Por hacer,09/ago/26 2:14 PM,10022,KAN-23,Evaluar compatibilidad entre mascotas para cruza
Verificar que se muestra una explicación causal del resultado en máximo 60 palabras (RNF-13).,KAN-41,10040,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:14 PM,09/ago/26 2:14 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0008v:,,,,,,,,Por hacer,09/ago/26 2:14 PM,10022,KAN-23,Evaluar compatibilidad entre mascotas para cruza
Controlar y alertar sobre solicitudes repetitivas de cruza de una misma mascota,KAN-42,10041,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:52 PM,22/ago/26 7:14 PM,22/ago/26 7:14 PM,,,0,"RF asociado: RF-27
Historia de usuario (HU-27): Como propietario de mascota o interesado en cruza, quiero recibir una alerta cuando una misma mascota supere dos procesos de cruza en seis meses, para evitar la sobreexplotación reproductiva de la mascota.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-23
",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00093:,,,,EV-23,Should,,,Por hacer,22/ago/26 5:52 PM,10001,KAN-2,E2 — Adopción y solicitudes
"Verificar que la busqueda con filtros (especie, raza, edad, tamano, temperamento) devuelve resultados que corresponden a los criterios seleccionados",KAN-43,10042,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0009b:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10007,KAN-8,Buscar y filtrar mascotas
Verificar que sin filtros aplicados se muestra el listado general de mascotas disponibles,KAN-44,10043,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0009j:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10007,KAN-8,Buscar y filtrar mascotas
Verificar la publicacion exitosa de una mascota para adopcion,KAN-45,10044,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0009r:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10008,KAN-9,Registrar publicaciones de mascotas
Verificar que el sistema rechaza la publicacion de una mascota no registrada,KAN-46,10045,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0009z:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10008,KAN-9,Registrar publicaciones de mascotas
Verificar que el sistema acepta imagenes validas cargadas por el usuario,KAN-47,10046,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000a7:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10009,KAN-10,Validar imágenes
"Verificar que el sistema rechaza imagenes invalidas, indicando el motivo del rechazo",KAN-48,10047,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000af:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10009,KAN-10,Validar imágenes
"Verificar que al registrar un numero de microchip, este se muestra correctamente en el perfil de la mascota",KAN-49,10048,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000an:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10010,KAN-11,Registrar identificador de microchip
Verificar que el sistema no permite registrar un identificador de microchip duplicado,KAN-50,10049,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000av:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10010,KAN-11,Registrar identificador de microchip
"Verificar que al publicar un aviso de mascota extraviada, este aparece visible para otros usuarios con los datos de contacto",KAN-51,10050,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:55 PM,22/ago/26 5:55 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000b3:,,,,,,,,Por hacer,22/ago/26 5:55 PM,10011,KAN-12,Publicar aviso de mascota extraviada
Verificar que el propietario puede marcar el aviso como resuelto una vez encontrada la mascota,KAN-52,10051,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:56 PM,22/ago/26 5:56 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000bb:,,,,,,,,Por hacer,22/ago/26 5:56 PM,10011,KAN-12,Publicar aviso de mascota extraviada
"Verificar que al consultar el historial de un propietario con procesos registrados, la informacion corresponde a los registros almacenados",KAN-53,10052,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 5:56 PM,22/ago/26 5:56 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000bj:,,,,,,,,Por hacer,22/ago/26 5:56 PM,10013,KAN-14,Consultar historial de procesos de adopción y cruza
Verificar que un propietario sin procesos registrados visualiza un historial vacio sin errores,KAN-54,10053,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 6:05 PM,22/ago/26 6:05 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000br:,,,,,,,,Por hacer,22/ago/26 6:05 PM,10013,KAN-14,Consultar historial de procesos de adopción y cruza
Verificar el avance exitoso de una etapa del flujo de adopcion,KAN-55,10054,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 6:05 PM,22/ago/26 6:05 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000bz:,,,,,,,,Por hacer,22/ago/26 6:05 PM,10014,KAN-15,Gestionar flujo de solicitud de adopción por etapas
Verificar que la solicitud se detiene cuando una etapa tiene resultado desfavorable,KAN-56,10055,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 6:05 PM,22/ago/26 6:05 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000c7:,,,,,,,,Por hacer,22/ago/26 6:05 PM,10014,KAN-15,Gestionar flujo de solicitud de adopción por etapas
"Verificar que al programar un encuentro entre dos usuarios, ambos reciben la notificacion correspondiente",KAN-57,10056,Subtarea,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,22/ago/26 6:07 PM,22/ago/26 6:07 PM,,,,0,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i000cf:,,,,,,,,Por hacer,22/ago/26 6:07 PM,10015,KAN-16,Coordinar encuentros de socialización supervisados
